,word,type,antonyms
539,bottom,adjective,side
540,bottom-up,adjective,top-down
541,bottomed,adjective,bottomless
542,bottomless,adjective,bottomed
543,bouncing,verb,clear
544,bound,verb,unbind|untie
545,bound,adjective,unbound|free|unbound
546,bowed,adjective,plucked
547,boxed,verb,unbox
548,braced,verb,sedate;de-energize;de-energise
549,brachycephalic,adjective,dolichocephalic
550,brachycranial,adjective,dolichocephalic
551,brachycranic,adjective,dolichocephalic
552,bracing,verb,sedate;de-energize;de-energise
553,bracteate,adjective,ebracteate
554,bracted,adjective,ebracteate
555,braided,verb,unbraid
556,brainwashed,adjective,unbrainwashed
557,branchiate,adjective,abranchiate
558,branchless,adjective,branchy
559,branchy,adjective,branchless
560,branded,adjective,unbranded
561,brave,noun,timid
562,brave,adjective,cowardly
563,breakable,adjective,unbreakable
564,breast-fed,adjective,bottle-fed
565,breasted,adjective,breastless
566,breastless,adjective,breasted
567,breathing,adjective,breathless
568,breathless,adjective,breathing
569,bridgeable,adjective,unbridgeable
570,bright,adjective,dull|dimmed
571,broad,adjective,narrow
572,broad-minded,adjective,shockable|narrow-minded
573,broadnosed,adjective,catarrhine
574,broke,verb,repair|keep|conform to|make|promote
575,broken,verb,repair|keep|conform to|make|promote
576,broken,adjective,unbroken|unbroken|unbroken
577,brotherlike,adjective,sisterly
578,brotherly,adjective,sisterly
579,brunet,adjective,blond
580,brunette,adjective,blond
581,bulging,adjective,concave
582,bumpy,adjective,smooth
583,burdened,verb,unburden
584,burdened,adjective,unburdened
585,buried,verb,remember
586,buried,adjective,unburied
587,bust,verb,repair
588,busted,verb,repair
589,busy,adjective,idle
590,buttoned,verb,unbutton
591,buttoned,adjective,unbuttoned
592,cacogenic,adjective,eugenic
593,cacophonic,adjective,euphonious
594,cacophonous,adjective,euphonious
595,caducous,adjective,persistent
596,calced,adjective,discalced
597,calcicolous,adjective,calcifugous
598,calcifugous,adjective,calcicolous
599,calculable,adjective,incalculable
600,calm,noun,discomposure
601,calm,verb,agitate|stimulate
602,calm,adjective,stormy
603,caloric,adjective,nonthermal
604,camphorated,adjective,uncamphorated
605,campylotropous,adjective,orthotropous
606,cancelled,adjective,on
607,canned,verb,hire
608,capable,adjective,incapable|incapable
609,capital,noun,lowercase
610,capitalist,adjective,socialistic
611,capitalistic,adjective,socialistic
612,cardinal,adjective,ordinal
613,cared-for,adjective,uncared-for
614,careful,adjective,careless
615,careless,adjective,careful
616,carinate,noun,ratite
617,carnivorous,adjective,herbivorous
618,carpellate,adjective,acarpelous
619,carpeted,adjective,uncarpeted
620,carved,adjective,uncarved
621,carvel-built,adjective,clinker-built
622,carven,adjective,uncarved
623,castrated,adjective,uncastrated
624,catabatic,adjective,anabatic
625,catabolic,adjective,anabolic
626,cataclinal,adjective,anaclinal
627,catadromous,adjective,diadromous
628,catalectic,adjective,hypercatalectic
629,catarrhine,adjective,leptorrhine
630,catarrhinian,adjective,leptorrhine
631,catching,verb,unhitch
632,categorematic,adjective,syncategorematic
633,cathodic,adjective,anodic
634,cationic,adjective,anionic
635,caudal,adjective,cephalic
636,caudate,adjective,acaudate
637,caudated,adjective,acaudate
638,caulescent,adjective,acaulescent
639,cauline,adjective,acaulescent|radical
640,caulked,adjective,uncaulked
641,causative,adjective,noncausative
642,cautious,noun,brave
643,cautious,adjective,incautious
644,ceilinged,adjective,floored
645,cellular,adjective,noncellular
646,cenobitic,adjective,eremitic
647,cenobitical,adjective,eremitic
648,cenogenetic,adjective,palingenetic
649,censored,adjective,uncensored
650,center,adjective,right
651,central,adjective,peripheral
652,centralised,verb,decentralize;decentralise;deconcentrate
653,centralised,adjective,decentralized
654,centralising,verb,decentralize;decentralise;deconcentrate
655,centralising,adjective,decentralizing
656,centralized,verb,decentralize;decentralise;deconcentrate
657,centralized,adjective,decentralized
658,centralizing,verb,decentralize;decentralise;deconcentrate
659,centralizing,adjective,decentralizing
660,centrifugal,adjective,centripetal
661,centripetal,adjective,centrifugal
662,cephalic,adjective,caudal
663,cerebral,adjective,emotional
664,certain,adjective,uncertain;unsure|uncertain|uncertain|unsealed
665,certified,verb,decertify
666,certified,adjective,uncertified
667,chained,verb,unchain
668,changeable,adjective,immutable|unchangeable
669,changed,verb,stay
670,changed,adjective,unchanged
671,changeful,adjective,unchangeable
672,changeless,adjective,mutable
673,changing,verb,stay
674,characteristic,adjective,uncharacteristic
675,charged,verb,discharge|pay cash|calm
676,charged,adjective,uncharged
677,charitable,adjective,uncharitable
678,chartered,adjective,unchartered
679,chaste,adjective,unchaste
680,cheap,adjective,expensive
681,checked,verb,disagree
682,cheerful,adjective,depressing
683,cheering,verb,dishearten|complain
684,cheerless,adjective,cheerful
685,chilling,verb,heat|heat
686,chlamydeous,adjective,achlamydeous
687,choked,verb,unclog|be born
688,cholinergic,adjective,anticholinergic
689,chondritic,adjective,achondritic
690,christian,adjective,unchristian
691,chromatic,adjective,diatonic|achromatic
692,chromatinic,adjective,achromatinic
693,chronic,adjective,acute
694,circular,adjective,square
695,cismontane,adjective,tramontane
696,civil,adjective,uncivil|sidereal
697,civilian,noun,serviceman
698,civilian,adjective,military
699,civilised,adjective,noncivilized
700,civilized,adjective,noncivilized
701,clad,verb,undress
702,clad,adjective,unclothed
703,clarifying,verb,obfuscate
704,classic,adjective,nonclassical
705,classical,adjective,nonclassical
706,classified,verb,declassify
707,classified,adjective,unclassified|unclassified
708,clayey,adjective,arenaceous
709,clean,verb,dirty
710,clean,adjective,dirty|unclean|dirty|dirty
711,clean,adverb,unfairly
712,clean-handed,adjective,guilty
713,clear,verb,clutter|overcast|bounce|convict
714,clear,adjective,unclear|opaque|ill-defined|cloudy
715,clear-thinking,adjective,confused
716,cleared,verb,clutter|overcast|bounce|convict
717,cleared,adjective,uncleared
718,clearheaded,adjective,confused
719,clement,adjective,inclement|inclement
720,climactic,adjective,anticlimactic
721,clincher-built,adjective,carvel-built
722,clinker-built,adjective,carvel-built
723,clipped,verb,unclip
724,clockwise,adjective,counterclockwise
725,clockwise,adverb,counterclockwise
726,clogged,verb,unclog
727,clogging,verb,unclog
728,close,verb,open|open|open|open|open
729,close,adjective,distant|distant|far
730,closed,verb,open|open|open|open|open
731,closed,adjective,open|open|open|open
732,closing,noun,opening
733,closing,verb,open|open|open|open|open
734,closing,adjective,opening
